Central_face,Forehead,Forehead_left,Forehead_right,Lower_lip,Nose,Peripheral_face
-0.534725976,-0.390494345,-0.449942096,-0.439218146,-0.776893430,-0.611171098,-0.500861715
-0.638986641,-0.450386794,-0.476179256,-0.620970170,-0.951932151,-0.745204889,-0.925218367
-0.899461003,-0.629342674,-0.659196317,-0.803471369,-1.486260863,-0.572137527,-1.420113178
-1.168473609,-0.912258722,-0.983159713,-0.856678499,-1.605671829,-0.865635378,-1.445933566
-1.365947648,-0.880153541,-1.005265526,-0.822089969,-1.304687791,-1.375461331,-1.591056704
-1.552976659,-1.200186822,-1.215431779,-0.926933836,-1.446306438,-1.391023962,-1.109004121
-1.550083271,-1.465285037,-1.475973309,-1.460447474,-1.237681147,-1.167454437,-1.428198698
-1.720333593,-1.422942177,-1.475488754,-1.632631978,-1.668801137,-1.416955632,-1.504940041
-1.276142623,-1.151977133,-1.124904546,-1.211995714,-1.996672515,-0.933238339,-1.666178670
-0.963296442,-0.772101692,-0.905522373,-0.513035717,-1.397565946,-1.164055162,-1.498498174
-0.668044448,-0.410568307,-0.471432846,-0.516688783,-0.887374838,-0.698900140,-0.825936945
-0.243452504,-0.001220312,0.176695978,-0.130243936,-0.604204814,-0.035252812,-0.598814746
0.351108778,0.560657607,0.628358479,0.392757000,0.060032615,0.033840288,-0.027480402
0.868488774,0.781237269,0.848192639,0.484196623,0.242909263,0.592082278,0.375848068
0.834470940,0.905661100,1.023107922,0.853707690,0.297225235,0.834957501,0.492246393
1.128896769,0.960655488,0.974860104,0.633664137,1.275104204,1.434060962,0.939609763
1.094740477,1.107422985,1.148090916,1.223630817,1.608998514,0.744038779,1.235858213
1.295953636,1.077659376,1.043992041,0.917782921,1.531380045,0.948990704,1.175333089
1.026008952,1.139018311,1.009935010,1.371728244,1.067745648,1.204219128,0.950812162
0.976929876,1.094172630,1.296536623,1.011085661,1.256472509,1.126229824,1.167217810
1.082950197,1.228081340,1.245352780,1.197175147,1.732589305,1.197631500,1.267328132
1.107480379,1.154285927,1.103550838,0.775764169,2.167164154,1.025279944,1.939096828
0.828333691,0.960455088,1.039339980,0.720253587,1.168145481,0.726384250,1.138592955
0.761414745,1.145543301,1.548549907,1.143869364,1.217767698,0.773483265,1.254317233
0.741422175,0.860605328,1.225150410,0.753566920,0.926377068,0.544509657,1.141587425
0.461282234,0.696112270,0.924885358,0.710687077,0.928112070,0.474049058,0.758342988
0.341977716,0.467400742,0.652727178,0.202210876,0.077600307,0.324059856,0.500334717
-0.052132346,0.210884250,0.337442644,0.402613639,-0.161735079,0.267508507,0.063835828
-0.329391695,0.084966944,0.287713423,0.068860390,-0.007855173,-0.286623842,0.138885176
-0.626270344,-0.334060772,-0.368723920,-0.233584512,-0.857975182,-0.568487867,-0.712588804
-0.891625711,-0.683262332,-0.700314642,-0.560142395,-0.506378026,-1.044345731,-0.782268403
-1.026902502,-1.246145177,-1.060357628,-1.187274202,-0.171152982,-1.174996358,-0.435769634
-1.463997610,-1.357421701,-1.131543564,-1.917368073,-0.953724606,-1.756484413,-1.329497120
-1.310288811,-1.404346131,-1.340855908,-1.457715252,-1.141487277,-1.407920740,-1.244780408
-0.950200313,-1.053686168,-1.149606433,-0.914993649,-0.898093854,-1.219726179,-1.158799429
-0.464172666,-0.670252268,-0.510926103,-0.427544891,-0.106811698,-0.843821579,-0.719634290
-0.129074996,-0.375367161,-0.359576443,-0.460890781,-0.319712355,-0.179358789,-0.492483565
0.407040092,0.137990453,0.188297719,0.028896842,0.307659521,-0.089406433,0.113491073
0.771532715,0.388562809,0.374261672,0.478536215,0.837801825,0.779207173,0.660908953
1.073300847,1.029551881,1.032155477,1.058924316,0.690094562,1.063198317,0.275976677
0.893247116,0.810421302,0.759651604,0.658051639,-0.355733581,0.888560182,0.613524650
1.107517655,0.798728401,0.893414092,0.622213171,0.371828427,1.209293468,1.009620669
